Acc_Num;Species_TaxID;Genus_TaxID;Family_TaxID;Order_TaxID;Class_TaxID;Phylum_TaxID
CP003862;263;262;34064;72273;1236;1224
CP003885;446;445;444;118969;1236;1224
CP004009;562;561;543;91347;1236;1224
CP004889;782;780;775;766;28211;1224
CR767821;779;943;942;766;28211;1224
CR925678;779;943;942;766;28211;1224
CU459141;470;469;468;72274;1236;1224
FM200053;28901;590;543;91347;1236;1224
FM954972;212663;662;641;135623;1236;1224
FM999788;487;482;481;206351;28216;1224
FN649414;562;561;543;91347;1236;1224
FQ670178;727;724;712;135625;1236;1224
AP012338;547188;666508;666507;666506;666505;203682
BX119912;265606;265488;126;112;203683;203682
CP001744;120;1649480;126;112;203683;203682
CP001848;125;123;126;112;203683;203682
CP002353;128;127;1763524;112;203683;203682
CP002546;119;1649490;126;112;203683;203682
CP003364;466153;466152;1763524;112;203683;203682
AE003849;2371;2370;32033;135614;1236;1224
AE004439;747;745;712;135625;1236;1224
AE005673;155892;75;76892;204458;28211;1224
AE007870;1176649;357;82115;356;28211;1224
AE008692;542;541;41297;204457;28211;1224
AE009442;2371;2370;32033;135614;1236;1224
AE014299;70863;22;267890;135622;1236;1224
AE017143;730;724;712;135625;1236;1224
AE017180;35554;28231;213422;69541;28221;1224
AE017196;163164;953;942;766;28211;1224
AE017282;414;413;403;135618;1236;1224
AE017321;80849;953;942;766;28211;1224
AL591688;382;28105;82115;356;28211;1224
AL954747;915;914;206379;32003;28216;1224
AM180252;29546;41707;194924;213115;28221;1224
